Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.52,0.12,0.56,0.24,0.08,0.044,0.046,0.036000000000000004,0.036000000000000004,0.05
0.04,0.2,0.66,0.78,0.32,0.084,0.066,0.034,0.03,0.056
0.88,0.16,0.88,1.0,0.96,0.07200000000000001,0.056,0.098,0.06,0.034
0.92,0.08,0.5,0.74,0.92,0.044,0.054000000000000006,0.07200000000000001,0.066,0.078
0.56,0.22,0.22,0.08,0.02,0.054000000000000006,0.044,0.05,0.064,0.032
0.26,0.04,0.7,0.72,0.58,0.07400000000000001,0.086,0.04,0.042,0.02
0.88,0.42,1.12,0.98,0.98,0.046,0.026,0.07,0.032,0.066
1.06,0.5,0.6,0.68,0.74,0.032,0.056,0.038,0.068,0.01
0.54,1.14,0.68,0.6,0.54,0.046,0.034,0.01,0.052000000000000005,0.056
0.66,0.5,0.88,1.1,0.96,0.048,0.044,0.092,0.032,0.062
1.02,0.04,0.48,0.72,0.38,0.094,0.052000000000000005,0.042,0.03,0.032
0.42,0.54,0.06,0.04,0.56,0.026,0.006,0.044,0.04,0.092
0.58,1.0,0.04,0.12,0.94,0.062,0.066,0.062,0.048,0.054000000000000006
0.84,0.78,0.06,0.56,0.16,0.05,0.08800000000000001,0.112,0.042,0.064
0.48,0.08,0.02,0.96,0.32,0.096,0.07200000000000001,0.07200000000000001,0.076,0.056
0.02,0.42,0.3,0.62,0.1,0.05,0.054000000000000006,0.044,0.092,0.058
0.08,1.06,0.12,0.04,0.32,0.048,0.054000000000000006,0.056,0.08,0.054000000000000006
0.28,0.6,0.26,0.54,0.34,0.08,0.05,0.06,0.07,0.022
0.02,0.38,0.26,1.06,0.9,0.052000000000000005,0.05,0.026,0.068,0.05
0.12,1.1,0.74,0.76,0.06,0.052000000000000005,0.068,0.056,0.034,0.048
0.42,0.78,0.94,0.1,0.08,0.026,0.066,0.084,0.076,0.054000000000000006
0.74,0.18,0.7,0.32,0.54,0.058,0.04,0.04,0.042,0.056
1.0,0.44,0.08,0.24,1.12,0.026,0.022,0.05,0.056,0.078
0.46,1.16,0.22,0.22,0.84,0.058,0.032,0.068,0.036000000000000004,0.07200000000000001
0.86,0.62,0.64,0.18,0.5,0.042,0.062,0.056,0.06,0.066
1.0,0.32,0.94,0.6,0.96,0.056,0.034,0.034,0.062,0.062
0.36,0.26,0.74,0.98,0.42,0.026,0.056,0.064,0.054000000000000006,0.04
0.1,0.28,0.04,0.76,0.04,0.026,0.054000000000000006,0.062,0.054000000000000006,0.026
0.74,0.38,0.14,0.14,0.7,0.07200000000000001,0.022,0.068,0.056,0.026
0.8,0.04,0.78,0.42,0.86,0.03,0.044,0.042,0.062,0.038
0.54,0.26,1.1,0.98,0.58,0.062,0.056,0.042,0.084,0.048
0.26,0.6,0.7,0.54,0.58,0.06,0.042,0.042,0.03,0.052000000000000005
0.82,1.08,0.04,0.04,1.08,0.062,0.036000000000000004,0.036000000000000004,0.026,0.07200000000000001
1.06,0.62,0.14,0.02,0.58,0.034,0.064,0.038,0.048,0.026
0.32,0.16,0.7,0.54,0.04,0.066,0.028,0.076,0.056,0.032
0.1,0.04,1.02,0.94,0.52,0.07,0.07,0.042,0.056,0.036000000000000004
0.84,0.6,0.5,0.76,0.98,0.018000000000000002,0.044,0.066,0.04,0.02
0.88,0.94,0.6,0.02,0.24,0.06,0.06,0.054000000000000006,0.068,0.096
0.22,0.86,0.84,0.3,0.14,0.066,0.036000000000000004,0.07,0.06,0.08
0.02,0.18,0.52,0.96,0.12,0.07400000000000001,0.07,0.076,0.046,0.054000000000000006
0.02,0.48,0.2,0.68,0.08,0.08,0.07400000000000001,0.048,0.138,0.034
0.1,0.98,0.14,0.1,0.02,0.08199999999999999,0.066,0.042,0.064,0.052000000000000005
0.04,0.54,0.16,0.4,0.12,0.068,0.052000000000000005,0.044,0.048,0.046
0.14,0.02,0.3,0.98,0.66,0.026,0.064,0.046,0.05,0.038
0.44,0.36,0.14,0.66,0.22,0.07400000000000001,0.064,0.054000000000000006,0.068,0.042
0.72,0.88,0.08,0.02,0.18,0.064,0.052000000000000005,0.026,0.052000000000000005,0.078
1.06,0.74,0.2,0.32,0.88,0.062,0.08199999999999999,0.094,0.08,0.03
0.26,0.1,0.8,0.04,1.18,0.022,0.044,0.07,0.062,0.034
0.12,0.38,1.16,0.3,0.72,0.06,0.064,0.044,0.066,0.09
0.82,0.92,0.62,1.02,0.02,0.04,0.046,0.05,0.09,0.03
0.84,0.66,0.02,0.76,0.72,0.036000000000000004,0.08199999999999999,0.08800000000000001,0.08199999999999999,0.044
0.4,0.16,0.76,0.36,1.06,0.044,0.022,0.058,0.058,0.05
0.12,0.06,0.9,0.26,0.54,0.058,0.028,0.044,0.05,0.07
0.62,0.02,0.76,0.76,0.68,0.046,0.034,0.064,0.05,0.026
0.92,0.14,0.46,0.82,0.92,0.058,0.044,0.044,0.032,0.052000000000000005
0.38,0.22,0.96,0.3,0.56,0.044,0.052000000000000005,0.05,0.08,0.044
0.04,0.04,0.62,0.04,0.14,0.07,0.08199999999999999,0.07400000000000001,0.09,0.096
0.88,0.02,0.46,0.8,0.7,0.038,0.07400000000000001,0.032,0.058,0.048
0.82,0.12,0.92,1.08,0.84,0.068,0.032,0.04,0.052000000000000005,0.034
0.32,0.28,0.56,0.12,0.32,0.044,0.04,0.034,0.046,0.038
0.12,0.94,0.64,0.78,0.12,0.038,0.086,0.032,0.06,0.07400000000000001
0.9,0.72,0.96,0.82,0.8,0.034,0.054000000000000006,0.04,0.032,0.076
0.82,0.1,0.78,0.16,0.88,0.034,0.028,0.08,0.032,0.066
0.24,0.4,0.3,0.32,0.2,0.08,0.058,0.056,0.026,0.056
0.1,0.92,0.18,0.78,0.16,0.07400000000000001,0.054000000000000006,0.1,0.026,0.05
0.12,0.78,0.32,0.8,0.04,0.066,0.052000000000000005,0.07400000000000001,0.104,0.114
0.06,0.38,0.12,0.24,0.1,0.06,0.056,0.026,0.08199999999999999,0.054000000000000006
0.04,0.98,0.28,0.08,0.06,0.07,0.05,0.054000000000000006,0.116,0.048
0.16,0.84,0.36,0.18,0.08,0.07200000000000001,0.056,0.038,0.052000000000000005,0.058
0.14,0.02,0.4,0.18,0.16,0.042,0.06,0.044,0.056,0.092
0.06,0.52,0.02,0.08,0.5,0.08,0.048,0.052000000000000005,0.07,0.018000000000000002
0.2,0.9,0.52,0.3,0.36,0.038,0.056,0.08800000000000001,0.056,0.06
0.7,0.52,1.06,0.16,0.92,0.012,0.066,0.05,0.068,0.04
0.92,0.12,0.6,0.7,1.02,0.07400000000000001,0.056,0.078,0.046,0.068
0.28,0.48,0.12,1.02,0.22,0.062,0.018000000000000002,0.068,0.062,0.044
0.82,0.92,0.1,0.52,0.1,0.07,0.048,0.05,0.04,0.06
0.94,0.8,0.4,0.12,0.94,0.068,0.032,0.08199999999999999,0.042,0.042
0.28,0.1,1.06,0.56,1.04,0.05,0.05,0.042,0.11,0.058
0.06,0.22,0.74,0.78,0.32,0.084,0.026,0.052000000000000005,0.056,0.056
0.82,0.26,0.16,0.38,0.32,0.07400000000000001,0.052000000000000005,0.068,0.042,0.076
0.92,0.26,0.4,0.18,0.9,0.068,0.038,0.034,0.098,0.068
0.22,0.26,0.98,0.6,0.78,0.068,0.048,0.05,0.058,0.036000000000000004
0.12,0.02,0.6,0.76,0.32,0.028,0.064,0.052000000000000005,0.056,0.026
0.82,0.64,0.52,0.36,0.04,0.062,0.07400000000000001,0.028,0.034,0.046
0.86,1.18,0.94,0.06,0.78,0.066,0.03,0.054000000000000006,0.05,0.05
0.26,0.66,0.74,0.82,0.74,0.01,0.026,0.036000000000000004,0.046,0.038
0.28,0.12,0.2,1.0,0.4,0.034,0.044,0.034,0.05,0.08
0.8,0.58,0.64,0.56,0.02,0.08800000000000001,0.048,0.048,0.064,0.06
0.74,1.02,0.96,0.3,0.74,0.134,0.062,0.004,0.022,0.046
0.24,0.92,0.54,0.5,0.86,0.07200000000000001,0.054000000000000006,0.066,0.048,0.042
0.04,0.5,0.12,0.92,0.12,0.104,0.038,0.066,0.108,0.06
0.04,0.88,0.2,0.44,0.1,0.06,0.036000000000000004,0.046,0.06,0.028
0.18,0.66,0.16,0.14,0.04,0.08199999999999999,0.07400000000000001,0.066,0.064,0.038
0.02,0.48,0.08,0.32,0.18,0.058,0.046,0.066,0.054000000000000006,0.032
0.04,0.9,0.18,0.08,0.16,0.068,0.058,0.086,0.048,0.07
0.12,0.58,0.34,0.14,0.52,0.04,0.056,0.05,0.08,0.06
0.16,0.14,0.3,0.1,0.34,0.058,0.034,0.066,0.078,0.07
0.04,0.52,0.66,0.12,0.96,0.034,0.022,0.058,0.08,0.07200000000000001
0.14,1.0,1.06,0.16,0.84,0.028,0.06,0.056,0.07,0.048
0.94,0.62,0.88,0.08,0.18,0.05,0.062,0.14400000000000002,0.024,0.046
0.94,0.02,0.32,0.82,0.36,0.048,0.048,0.064,0.04,0.052000000000000005
0.28,0.16,0.44,1.1,0.84,0.03,0.084,0.07200000000000001,0.052000000000000005,0.076
0.06,0.02,1.06,0.62,0.7,0.022,0.044,0.042,0.056,0.122
0.86,0.12,0.92,0.58,0.14,0.028,0.064,0.042,0.054000000000000006,0.038
0.86,0.1,0.22,1.26,0.22,0.062,0.032,0.078,0.056,0.032
0.3,0.36,0.44,0.78,0.86,0.02,0.07,0.048,0.052000000000000005,0.054000000000000006
0.16,0.12,0.94,0.14,0.74,0.068,0.108,0.032,0.064,0.056
0.84,0.16,0.48,0.7,0.22,0.014,0.07400000000000001,0.066,0.026,0.05
0.88,0.58,0.14,1.12,0.84,0.02,0.028,0.064,0.064,0.048
0.26,0.96,0.4,0.6,0.68,0.068,0.066,0.02,0.054000000000000006,0.07400000000000001
0.12,0.48,0.84,0.28,0.02,0.056,0.05,0.036000000000000004,0.034,0.04
0.74,0.24,0.7,0.5,0.3,0.046,0.054000000000000006,0.024,0.06,0.168
0.82,0.58,0.12,1.0,0.6,0.042,0.03,0.004,0.058,0.054000000000000006
0.4,0.94,0.32,0.68,0.84,0.008,0.104,0.048,0.048,0.102
0.12,0.74,0.74,0.1,0.02,0.124,0.048,0.096,0.048,0.064
0.74,0.08,0.66,0.34,0.18,0.07,0.076,0.084,0.002,0.07200000000000001
0.82,0.72,0.02,0.88,0.34,0.05,0.034,0.07400000000000001,0.116,0.048
0.26,0.92,0.16,0.72,0.06,0.076,0.056,0.054000000000000006,0.07200000000000001,0.086
0.06,0.66,0.14,0.02,0.34,0.032,0.06,0.05,0.08199999999999999,0.036000000000000004
0.06,0.04,0.2,0.02,0.3,0.042,0.08199999999999999,0.07400000000000001,0.058,0.05
0.02,0.02,0.24,0.2,0.04,0.04,0.06,0.038,0.068,0.05
0.06,0.5,0.06,0.14,0.3,0.092,0.062,0.064,0.046,0.048
0.22,1.06,0.18,0.12,1.08,0.034,0.066,0.07400000000000001,0.056,0.048
0.06,0.64,0.46,0.08,0.7,0.03,0.05,0.078,0.044,0.058
0.08,0.06,1.18,0.24,0.26,0.042,0.07400000000000001,0.034,0.062,0.04
0.28,0.6,0.74,0.04,0.4,0.038,0.094,0.058,0.06,0.118
0.88,0.94,0.06,0.5,0.98,0.046,0.078,0.054000000000000006,0.042,0.04
1.08,0.62,0.52,0.94,0.56,0.054000000000000006,0.054000000000000006,0.004,0.062,0.062
0.24,0.04,1.1,0.58,0.28,0.04,0.02,0.044,0.044,0.07400000000000001
0.36,0.2,0.82,0.16,0.5,0.048,0.05,0.038,0.062,0.05
0.8,0.16,0.08,0.48,0.82,0.07400000000000001,0.064,0.024,0.054000000000000006,0.066
0.9,0.26,0.56,1.1,0.76,0.036000000000000004,0.028,0.05,0.038,0.05
0.26,0.04,1.08,0.48,0.24,0.04,0.06,0.042,0.046,0.042
0.3,0.72,0.68,0.14,0.46,0.066,0.058,0.07400000000000001,0.034,0.068
0.78,1.04,0.04,0.48,0.84,0.05,0.08,0.016,0.052000000000000005,0.048
0.88,0.56,0.4,1.0,1.02,0.048,0.05,0.032,0.066,0.046
0.14,0.58,1.02,0.58,0.06,0.034,0.042,0.066,0.04,0.11
0.66,0.96,0.56,0.38,0.34,0.066,0.136,0.032,0.048,0.038
0.82,0.54,0.16,0.86,0.84,0.07400000000000001,0.07200000000000001,0.054000000000000006,0.026,0.048
0.26,0.72,0.4,0.88,0.56,0.092,0.076,0.068,0.022,0.046
